source_key,source_dataset,record_role,records,unique_smiles,numeric_activity_rows
agile,AGILE,experimental_finetuning,1200,1100,0
agile,AGILE,experimental_library,1200,1200,0
agile,AGILE,virtual_candidate,12276,12276,0
comet_lance,COMET / LANCE,formulation_activity,15867,7,0
exosome_mimetic_gan,Exosome-mimetic LNP GAN candidates,synthetic_candidate,10000,0,0
lipobart,LipoBART iPhos,material_activity,572,572,572
lipobart,LipoBART iPhos,material_structure,572,572,0
lipobart,LipoBART iPhos,target_definition,44,0,0
lnp_ml_lion,LNP_ML / LiON,experimental_delivery,13069,9377,13069
lnp_ml_lion,LNP_ML / LiON,experimental_delivery_paper_subset,13069,7493,13069
lnp_ml_lion,LNP_ML / LiON,model_prediction,372,165,372
lumi_lab,LUMI-lab,design_component_set,1840,0,0
lumi_lab,LUMI-lab,experimental_screen,1920,1920,1920
translnp,TransLNP,activity_split,2400,1100,2400
transma,TransMA,activity_split,4800,1100,4800
